subiculum,medial division
pontine tegmentum,spinal cord
bregma,gustatory thalamic nucleus
dorsal septal nucleus,hypothalamus
dorsal septal nucleus,anterior thalamus
facial lobe,posterior thalamic nucleus
facial lobe,gustatory nucleus
facial lobe,reticular formation
facial lobe,medulla
optic tract,ventral thalamic nucleus
entorhinal cortex,superior temporal sulcus
subiculum,amygdaloid complex
Pretectal nuclei,pons
nucleus tractus solitarii,nucleus ambiguus
insular cortex,frontal cortex
pretectal nuclei,optic tectum
Spinal cord,hypothalamus
olfactory bulb,telencephalon
amygdala,supraoptic nucleus
frontal cortex,vestibular nuclei
periolivary nucleus,inferior colliculus
parietal lobe,inferior parietal lobule
forebrain,suprachiasmatic nucleus
ventral cochlear nucleus,brainstem
ventral cochlear nucleus,trapezoid body
main olfactory bulb,supraoptic nucleus
inferior olive,cerebellar nuclei
lateral superior olive,inferior colliculus
pretectum,dorsal lateral geniculate nucleus
parabrachial nucleus,intralaminar thalamic nuclei
medial superior olive,inferior colliculus
subiculum,hypothalamus
medulla oblongata,forebrain
auditory cortex,inferior colliculus
superior colliculus,pons
medial geniculate body,primary auditory cortex
nucleus lentiformis mesencephali,nucleus geniculatus lateralis pars dorsalis
inferior colliculi,pons
brainstem,intralaminar thalamic nuclei
striate cortex,lateral geniculate nucleus
supraoptic nucleus,brainstem
supraoptic nucleus,main olfactory bulb
limbic cortex,basal forebrain
subiculum,CA3
matrix,neostriatum
vestibulospinal tract,r4
optic tract,optic tectum
medial accessory olive,simple lobule
nucleus tractus solitarii,vagus
inferior colliculus,medial geniculate body
dorsal accessory olive,vermis
nucleus basalis,forebrain
entorhinal cortex,hippocampus
preoptic nucleus,hypothalamus
parabigeminal nucleus,superior colliculus
parabigeminal nucleus,dorsal lateral geniculate nucleus
nucleus ambiguus,vagus
intermediate nucleus,lateral lemniscus
prefrontal cortex,hippocampal formation
ELL,ganglion
brainstem,supraoptic nucleus
nucleus Darkschewitsch,interstitial nucleus
